"","x"
"640",7
"641",3
"642",11
"643",5
"644",5
"645",6
"646",2
"647",2
"648",5
"649",3
"650",5
"651",5
"652",6
"653",2
"654",3
"655",3
"656",8
"657",13
"658",14
"659",15
"660",15
"661",15
"662",15
"663",14
"664",1
"665",2
"666",3
"667",3
"668",3
"669",11
"670",16
"671",14
"672",14
"673",7
"674",15
"675",15
"676",14
"677",15
"678",15
"679",5
"680",7
"681",12
"682",15
"683",8
"684",8
"685",8
"686",8
"687",8
"688",8
"689",12
"690",12
"691",3
"692",16
"693",16
"694",11
"695",16
"696",14
"697",14
"698",14
"699",11
"700",7
"701",3
"702",11
"703",11
"704",9
"705",13
"706",13
"707",14
"708",12
"709",12
"710",12
"711",10
"712",16
"713",16
"714",16
"715",10
"716",5
"717",4
"718",9
"719",3
"720",3
"721",14
"722",14
"723",14
"724",4
"725",10
"726",15
"727",15
"728",4
"729",4
"730",16
"731",11
"732",13
"733",13
"734",6
"735",3
"736",3
"737",7
"738",12
"739",10
"740",13
"741",6
"742",4
"743",5
"744",3
"745",13
"746",7
"747",10
"748",8
"749",3
"750",3
"751",13
"752",9
"753",9
"754",13
"755",9
"756",15
"757",4
"758",11
"759",1
"760",7
"761",6
"762",2
"763",3
"764",11
"765",11
"766",8
"767",16
"768",16
"769",16
"770",11
"771",14
"772",16
"773",3
"774",3
"775",11
"776",11
"777",3
"778",2
"779",11
"780",10
"781",10
"782",10
"783",9
"784",3
"785",11
"786",11
"787",3
"788",3
"789",11
"790",4
"791",4
"792",3
"793",14
"794",5
"795",5
"796",16
"797",16
"798",4
"799",15
"800",5
"801",11
"802",4
